puzzle,solution,difficulty,difficulty_level
810062000020100008000480000304051070002090000080620000140000750068540013003000009,817962435425173968936485127394851672672394581581627394149238756768549213253716849,50,Hard
000003200950002603380000090000807000008001406010009850004060701000030002000000900,476193285951482673382576194645827319798351426213649857824965731169738542537214968,54,Expert
408307950025000000300002004000003090500290800600418005001670520006009400800020000,418367952725941683369582174184753296573296841692418735931674528256839417847125369,49,Medium
200001698060300070890762100009000000010986007080043910730004250900827301100030700,273451698461398572895762143349175826512986437687243915738614259954827361126539784,42,Easy
000004500000900870549080320000700000800040209100809760080403000090578602032106000,378214596216935874549687321953762148867341259124859763685423917491578632732196485,47,Medium
048591320050387406001064095000015900000070654000400078000002700020609000013758200,648591327259387416371264895764815932182973654935426178596142783827639541413758269,42,Easy
004907500900062740078003006053200000401350000009674000040006057000400031000030804,634917582915862743278543196753291468461358279829674315342186957587429631196735824,47,Medium
958040300000800004100060900070000080006001043520090000000382006060000000009070020,958147362632859714147263958471536289896721543523498671715382496264915837389674125,54,Expert
140003005050481000630000000000300600513090072076002053485930000001068534002010080,147623895259481367638759241924375618513896472876142953485937126791268534362514789,44,Easy
000709000080001070901450068068000540409078102300005890000590000700824600600307480,246789351583261974971453268168932547459678132327145896814596723735824619692317485,44,Easy
084500030270006410030081250000790862706050009000200170301000700940010600000300500,184572936275936418639481257513794862726158349498263175351629784947815623862347591,46,Medium
000070402700000008000004000016430750800000000009500800060001090020005300380096004,158679432742153968693824175216438759875912643439567821564381297921745386387296514,54,Expert
009500006003702914017036200790014502030870140150020073002100490070000000041290008,829541736563782914417936285798314562236875149154629873682153497975468321341297658,41,Very Easy
605000000040106500908003706000060000000200307530901604006085100001030200004700000,625897431743126598918543726187364952469258317532971684296485173871639245354712869,51,Hard
000795040901040005300060002002150004036400009000930050157000420000610000089020703,268795341971243865345861972792158634536472189814936257157389426423617598689524713,47,Medium
932100040105409067704020109020040670301600900806050002098000003007003491400205080,932176845185439267764528139529341678371682954846957312698714523257863491413295786,41,Very Easy
600008910050070602001000000000510000069000000000030005010004020790800300405003097,672358914854971632931246758283517469569482173147639285318794526796825341425163897,54,Expert
000002000017095004002430006083009071450700020609320000020053400000080009108000000,364812795817695234592437816283549671451768923679321548926153487735284169148976352,50,Hard
280670135090050204306421708410500026605094300900306000060030042007960000502048079,284679135791853264356421798413587926675294381928316457169735842847962513532148679,37,Very Easy
000000900100000070078509006009080065002034000007900000030150200065002049000000000,453761928196823574278549316319287465582634791647915832934156287865372149721498653,55,Expert
003006915845000070960003000000037859050080032000520040008900463500368700607002090,273846915845291376961753284412637859759184632386529147128975463594368721637412598,43,Easy
300209005261005978090086020000498006030050809940601007057800400400960080000510003,384279615261345978795186324572498136136752849948631257657823491413967582829514763,42,Easy
009010400154020003360450000405392008600841007800000020000004056000200790906075800,289613475154729683367458219475392168692841537813567924721984356548236791936175842,45,Easy
403000509000000607150000300000030000394007000081000403000053040700009008509810030,463271589928345617157968324275634891394187265681592473812753946736429158549816732,52,Hard
005020000002593017000000050004900000100004085839065700008479630403002079000306001,745621398682593417391748256254987163176234985839165724518479632463812579927356841,46,Medium
090080270206704003708020501504109702970402050010508000009001807065097010007040090,491385276256714983738926541584139762973462158612578439349651827865297314127843695,41,Very Easy
054060870900750010080200000000600700670025300010090200500079000049086100800000094,154963872932758416786241953295634781678125349413897265521479638349586127867312594,49,Medium
000090008061800709005704106710489002020305004090106800400913085002507091050248003,247691358361852749985734126713489562628375914594126837476913285832567491159248673,39,Very Easy
009140600208079300401060097005008410300700060006014000840900150050086904000450028,579143682268579341431862597725698413314725869986314275842937156157286934693451728,43,Easy
085206000063018200271593068547001020190605084030040901010000040050100802006354190,485276319963418275271593468547981623192635784638742951319827546754169832826354197,37,Very Easy
072196405900720800036004002020400107000800009000007320047008900090071250503040670,872196435954723861136584792329465187761832549485917326247658913698371254513249678,43,Easy
200000965001600002005284030000000089500862010803901500490030057006720493300000000,248317965731659842965284731614573289579862314823941576492138657186725493357496128,45,Easy
000080690008069072069700530307000000000200900002004000020470009050001040004608051,275183694438569172169742538317896425546217983982354716821475369653921847794638251,50,Hard
400170300001000006900006700030810497004000038090003060358000000062034001040258600,426175389571389246983426715635812497214697538897543162358761924762934851149258673,47,Medium
900000427425907130001340596009000045643250709508400013000120804000730051004085070,936518427425967138781342596219873645643251789578496213357129864862734951194685372,37,Very Easy
200800000604000005000001086756400019032710654000060028500080000008100590000052060,215836947684297135973541286756428319832719654491365728529683471368174592147952863,48,Medium
000369007027850043000070009000030900300100805800040006040903000600004001190706002,418369257927851643536472189251638974364197825879245316742913568683524791195786432,49,Medium
020006090497020065865009302000001700501080630000053200006872000700135026000694500,123546897497328165865719342238961754541287639679453281956872413784135926312694578,42,Easy
301007602000000309060002400600408901019005730000000006024709000090006850000834000,341597682582641379967382415635478921419265738278913546824759163793126854156834297,49,Medium
080043000000607813000920000000710020010800504642005187900570060050406900164239008,586143279429657813371928645895714326713862594642395187938571462257486931164239758,42,Easy
070800400093005070000070002360200500000009000910640000600091850080002010000700024,172863495493125678856974132367218549248539761915647283624391857789452316531786924,52,Hard
902500003065900000080000000800409002000300700009067001301004200050702906270090504,942571863165983427783246195837419652614325789529867341391654278458732916276198534,49,Medium
120000800000100040034070019001003600052860030340057081700040000090786052208015400,129534876687129543534678219871493625952861734346257981715942368493786152268315497,44,Easy
001009000060000100400612038802007615953061200170208000000976304624080901030104806,381749562267835149495612738842397615953461287176258493518976324624583971739124856,39,Very Easy
900564108085013720000800940200080003061309007803006210042000000600000092000231004,927564138485913726136872945294187653561329487873456219342698571618745392759231864,44,Easy
000500802203000400864000007010050030005417680470089000000020000042008010100005008,791543862253876491864291357918652734325417689476389125689124573542738916137965248,50,Hard
310002675045003192006000403020005000654010730080000204407169028102500067560307041,319842675845673192276951483723495816654218739981736254437169528192584367568327941,37,Very Easy
030026004009000650000004890210090030007103260003000000900007300006002500000800106,538926714479381652162754893215698437897143265643275981921567348386412579754839126,52,Hard
700008000000079004050000001200700000047080102030162000460820070010607200802300400,726418539183579624954236781291754863647983152538162947469821375315647298872395416,50,Hard
570940230403062170000700900800000305739250000000083007004800703300000510906000080,578941236493562178612738954861479325739256841245183697124895763387624519956317482,46,Medium
208310564560209730743008900800403091320000040000020005080030650000760489079504000,298317564561249738743658912856473291327195846914826375482931657135762489679584123,40,Very Easy
008030400040010370073400519300006705900087200007254900090543020456002193732001050,518739462249615378673428519324196785965387241187254936891543627456872193732961854,38,Very Easy
002030508007005020930000001010070640794500002300008000029000000070900006000407080,142736598687195423935824761218379645794561832356248917829653174471982356563417289,52,Hard
012000000000075000000609008004208710000400000207300900801002000375000006000004580,712843659698175234453629178564298713139457862287316945841562397375981426926734581,54,Expert
600235000320000501000618300090100020000000700780420000831750006000360870407002000,614235987328947561975618342596173428142586739783429615831754296259361874467892153,48,Medium
000004020000008091873900050008600000000057080400000300500073000007005609314096205,951764823642538791873921456738649512126357984495182367569273148287415639314896275,50,Hard
000608090008203050051900308000034000080721000030060084004370012012490830060082740,243658197978213456651947328526834971489721563137569284894375612712496835365182749,43,Easy
000006100980700003050320000020467000000008490010032007002100800047050000000000070,273896145981745623654321789529467318736518492418932567392174856847659231165283974,54,Expert
089460070520900460064052091098007603376520014450609000010000500000705009040396100,189463275523971468764852391298147653376528914451639782917284536632715849845396127,39,Very Easy
007580362869420017500060094070302000230058670905610000400006750390870100050194230,147589362869423517523761894671342985234958671985617423418236759392875146756194238,36,Very Easy
000000007305840000092006030857000040000090070900000012070420905020158000503000401,648932157315847296792516834857261349261394578934785612176423985429158763583679421,50,Hard
819006400046000009007940501068295040004000090000430018600700154425013000091000006,819356472546172839237948561168295743374861295952437618683729154425613987791584326,43,Easy
109608500008700630050003120400106000013000040005000000080090000000080000700002300,139628574248715639657943128472136895813259746965874213581397462326481957794562381,55,Expert
750094380080035004400680157061020479027041506000300020605200048030870005000009760,756194382182735694493682157361528479827941536549367821675213948934876215218459763,39,Very Easy
052040100130000084804015029493006050020000406016472038280039701360700805907000060,652948173139267584874315629493186257728593416516472938285639741361724895947851362,38,Very Easy
140300090300000072000100400002080000689200700400070208870015300030002080001800050,145327896398546172267198435712483569689251743453679218876915324534762981921834657,50,Hard
450913800830475160007826043521740300000000700700350024205030000194080030600592017,456913872832475169917826543521749386349268751768351924275134698194687235683592417,36,Very Easy
000065000700300659060207080010756000085009407000000506300000978906570300001090200,138965724742381659569247183413756892685129437297834516354612978926578341871493265,47,Medium
900106004080007012007320608400702803520000471308610050260000080000538106800000000,952186734683947512147325698419752863526893471378614259261479385794538126835261947,44,Easy
006080000978100000010000000650470080729800050080695120000700062500000719867210430,436587291978123546215946378651472983729831654384695127193754862542368719867219435,44,Easy
630201490082006700504809630203010000469528010078904026840000270001000040705002060,637251498982346751514879632253617984469528317178934526846193275321765849795482163,39,Very Easy
508639007904000008703420506000006001200180600600397000100005030400063185085000000,528639417964571328713428596837256941259184673641397852176845239492763185385912764,45,Easy
000004601003070082076500003600020108000068040302045700908007000034002016061400020,859234671413976582276581493645729138197368245382145769928617354734852916561493827,46,Medium
021570000900000000087900001800009014100083007302040050000000190050100406000300082,621574839934812765587936241876259314145683927392741658768425193253198476419367582,51,Hard
032080049819300000700000630000900507003820000290000400320000706901070350504630010,632785149819364275745192638186943527453827961297516483328451796961278354574639812,46,Medium
000001008000702000100009730408025007900807500520000900790100000350070009804300005,273541698689732451145689732468925317931867524527413986792154863356278149814396275,50,Hard
047610350021900000003000400600800120100000083089172040090020076708096204036700590,947618352521943768863257419654839127172465983389172645495321876718596234236784591,42,Easy
360100829090080000008000060000900046000300208700000000000400010600009084240007300,367154829492683157518792463123978546956341278784526931879435612635219784241867395,54,Expert
070901026590000000801070000003840090000065007000009002007000050165004700000100200,374981526596423178821576934713842695942365817658719342237698451165234789489157263,53,Hard
009024700540060210008000600001002096450900870036800000000681002003509060605003084,369124758547368219128795643871452396452936871936817425794681532283549167615273984,45,Easy
000507000003080510007003090300004001400396020006271000000030000080000043009042000,968517432243689517157423896372854961415396728896271354524138679781965243639742185,53,Hard
002000857530108000049020306000250040005800020001040068358001400004080630900074000,162439857537168294849725316683257941495816723271943568358691472714582639926374185,46,Medium
009040500004052007010960040900010674063000005207085000470590108806127050000000762,329741586684352917715968243958213674163479825247685391472596138836127459591834762,43,Easy
004000003030040080080002750070010802400003561310200000020300008907600300000420090,254768913731549286689132754576914832492873561318256479125397648947681325863425197,50,Hard
004090080000250069300000010200930008041000032009172000620000000000008005000500700,564791283178253469392486517256934178741865932839172654625347891917628345483519726,54,Expert
053009000000050030060700001314002007006801020080007050007000003820930605000106900,753419268142658739968723541314562897576891324289347156697285413821934675435176982,50,Hard
500026000780300005601095004000078000070003900008549107067900003900001070000080059,543826791789314625621795384496178532175263948238549167867952413952431876314687259,48,Medium
001200600306500000000060072000680000580000060100000830000050300470021080800000100,741298653326574918958163472234685791587319264169742835612857349473921586895436127,55,Expert
000670300000001820060800510040708030090000200800305000006003000500100060000004090,158672349937541826264839517645728931793416258812395674476953182529187463381264795,55,Expert
018594070009021500400670090000000408006800027020000050000040700673000945000730801,318594276769321584452678193935267418146859327827413659581946732673182945294735861,47,Medium
158004267074612900602075304000490008209050431000021000523100040900500800407209100,158934267374612985692875314731496528269758431845321796523187649916543872487269153,38,Very Easy
001007834560004710007000050854260970002070500070593028019380247280700005000000006,921657834568934712437812659854261973392478561176593428619385247283746195745129386,41,Very Easy
028500000006070000407000000000050700300040180590700060003000096005300001000021070,928564317156873924437219658684152739372946185591738462713485296265397841849621573,55,Expert
050016040706009001020040068800004097000070006600300000070003050500728000082450070,958216743746839521123547968835164297214975386697382415471693852569728134382451679,49,Medium
003000009240100703198000000489000300000078040051603082520831000010500000834700100,673452819245189763198367254489215376362978541751643982526831497917524638834796125,46,Medium
001760000300000000090200470000054002008902014100030090800006040902040000003809260,241763958387495126596281473739154682658972314124638597815326749962547831473819265,51,Hard
000000036400000572300405009906070000000004097000096005130009008009080104008050063,895712436461938572327465819986573241513824697274196385132649758659387124748251963,50,Hard
007368915600457083085109060030910802060040731520700640000070300196000078000895000,247368915619457283385129467734916852968542731521783649852671394196234578473895126,38,Very Easy
700090504605100907402000010957230108010500790000900000070000230120870400040003000,781396524635142987492785613957234168314568792268917345876451239123879456549623871,47,Medium
187050200604009000502070806209580010005340080040006025326008501071035008950400000,187653294634829157592174836269587413715342689843916725326798541471235968958461372,41,Very Easy
800750000604030510520010070006080009207460003005021746900000837718000005063078021,831752694674839512529614378146387259297465183385921746952146837718293465463578921,41,Very Easy
040819003030270008100030900021900070004000006000005090000000029006000000703000640,642819753539276418178534962321968574954721836867345291415687329296453187783192645,54,Expert
018400090402080037000923001007004080000000000030095674009008003040069700050000020,318457296492186537675923841567314982984672315231895674729548163143269758856731429,50,Hard
900000050004508000001040600503007800000030000000001346005000400000004032090320107,982163754634578219751249683543697821816432975279851346325716498167984532498325167,54,Expert
260315097400070600000004000374100500000000064690543000006009041721450036040601870,268315497419872653537964182374186529185297364692543718856739241721458936943621875,42,Easy
000000000040008073930140005020005090704800200006007300000300502402006009008020700,685973421241658973937142685823465197794831256516297348179384562452716839368529714,52,Hard
320001009010060824800020300001345200902607500000082003000594702090038016203006085,324851679519763824876429351681345297932617548457982163168594732795238416243176985,41,Very Easy
000009340000000010070004058602100070401003006007400190300008000000200500240000800,526819347984357612173624958692185473451973286837462195369548721718296534245731869,54,Expert
704080601900007408010042907000371502070090000030065089000000890080539200020018076,754983621962157438318642957896371542275894163431265789143726895687539214529418376,43,Easy
005108263076000000020903405200300701000010080000000090000000120068240007930000000,495178263376524819821963475284396751659417382713852694547639128168245937932781546,52,Hard
000900000630142950018300000402010500003409720170030060700000600206000090000004007,524987136637142958918365274492716583863459721175238469781593642246871395359624817,50,Hard
782006000300000008000240067050927000907064000008000700000005172100630004405000600,782316945364579218591248367653927481917864523248153796836495172179632854425781639,50,Hard
002003000030009760046810209000300005085104607467000000003000006004006820000452970,892673154531249768746815239129367485385124697467598312273981546954736821618452973,47,Medium
007020000200001460091070200080010306500890070400700005060100042000640000000030698,647325819235981467891476253789514326526893174413762985368159742972648531154237698,50,Hard
650704000000065207301298640000642003460007500100003000506329800094801326208406950,652734198849165237371298645985642713463917582127583469516329874794851326238476951,37,Very Easy
000960000201070080008000300320000000580300012000090700000000070100009840600107003,735968124241573689968421357329715468587346912416892735892634571173259846654187293,55,Expert
708400030609035108450000070041300090002007361007901800005074006100600520906152483,718469235629735148453218679541386792892547361367921854235874916184693527976152483,39,Very Easy
040085320703040081000000940000700058087450006025608730000921503530006409901500872,649185327753249681218367945496713258387452196125698734874921563532876419961534872,39,Very Easy
078200410902010050041590000850300100294070005107000602009802507785941263420057001,578263419962714358341598726856329174294176835137485692619832547785941263423657981,36,Very Easy
100000097070450000500000000645280079000000801801060250403100000008040000057608002,184326597376459128529817643645281379732594861891763254463172985218945736957638412,50,Hard
720805041500000208000042305300000400208506039100420586003601007870350164000204053,729835641534167298681942375365798412248516739197423586453681927872359164916274853,39,Very Easy
021607005000281070704000000346700001000000304150403000213090507607300120000002683,821647935539281476764935218346729851972518364158463792213896547687354129495172683,44,Easy
025000360000030052000007000003069041400000087060000009000072000007510000810300005,725981364981634752634257198273869541459123687168745239596472813347518926812396475,54,Expert
107845020908600005200107608010056800380410050050308204500020381821500090470001060,167845923948632175235197648714256839382419756659378214596724381821563497473981562,38,Very Easy
000000080495300002618020009203086700000030000080900600700005004056200900000007538,372159486495368172618724359243586791967431825581972643739815264856243917124697538,50,Hard
070090020201600800000218697610040750420307900030060080063000109080050034000109000,876495321291673845354218697618942753425387916937561482563824179189756234742139568,45,Easy
000840007600532001100070002028106900010000000007000030005000260060908000200300000,532841697679532841184679352328156974416793528957284136895417263763928415241365789,54,Expert
205007938601503004000280561000170053030000000506009827059760040064030710000000600,245617938681593274793284561928176453437825196516349827159768342864932715372451689,43,Easy
100804000780510020300070508008025741000001000001480600053602007200398460006050003,125834976789516324364279518638925741542761839971483652853642197217398465496157283,44,Easy
060090007010607000002054900500300001600485000000006003003008014106000300794001600,465893127319627548872154936528379461631485279947216853253968714186742395794531682,50,Hard
002305000500016000800270045000057001080103206000600700000560319301000500008000460,642385197597416823813279645426857931789143256135692784274568319361924578958731462,49,Medium
580006017620070000703120069000300500095000006000900730150608300260000000900710680,589436217621879453743125869472361598395287146816954732157698324268543971934712685,47,Medium
560000003802000050010542070000000000006109085720600040900075000050004807200800510,564781293872396154319542678198457362436129785725638941981275436653914827247863519,50,Hard
306807190004109306000000480752000908008052001003000007437210069891603254265004000,326847195584129376179536482752361948948752631613498527437215869891673254265984713,38,Very Easy
407000000691007420500000100006400000000009601070100500059804062000702809024006000,487621953691537428532948176916485237345279681278163594759814362163752849824396715,50,Hard
402015000706000480080600000200070306800000109063124008098031054000059003345006000,432815697716392485589647231251978346874563129963124578698231754127459863345786912,45,Easy
200009035400308000070001900001600029709800006002090000000945000950037068037080000,216479835495328617873561942381654729749812356562793481628945173954137268137286594,49,Medium
903000007700030298048609000000050030009123000000700000300507806070300040000860720,953281467761435298248679351417958632689123574532746189324597816876312945195864723,50,Hard
030602409060048012000093060301007900070019000000800000090081504504070820080420000,137652489965748312842193765351267948478519236629834157296381574514976823783425691,47,Medium
006700010900001000108495062003040025020806300491050870850100093314520087009000450,546732918972681534138495762683947125725816349491253876857164293314529687269378451,40,Very Easy
010000347457010600000700008000000900200030080300258016090105803630000005500006000,812569347457813629963742158185674932276931584349258716794125863631487295528396471,50,Hard
060750008900602007172008006000030080030900710810005300340200870081000900009070000,463751298958642137172398456694137582235986714817425369346219875781564923529873641,48,Medium
134060200070002000002040190307584009891003520006001087003908701700000932200350008,134869275975132846682745193327584619891673524546291387463928751758416932219357468,41,Very Easy
010003890700200004008600700003000010024070069050002070680007001037010002000000950,412753896765289134398641725973465218124378569856192473689527341537914682241836957,51,Hard
080090102000007560050000938000006000040300010030200080070009600300060000104008000,486593172923817564751624938817946325642385719539271486278439651395162847164758293,55,Expert
000000501000001000020085690000048067480037900092000400010509020000700050009000000,638492571945671382127385694351948267486237915792156438814569723263714859579823146,54,Expert
000100809690800704020079150005400902040001607903780501300000018400000300170060405,537124869691853724824679153715436982248591637963782541356947218489215376172368495,44,Easy
108027900960010250074059008000201000089403520401500609390146082607002305810705090,158627943963814257274359168536291874789463521421578639395146782647982315812735496,36,Very Easy
806000040907460500000000000000050080531900000000001000260070005009605730100003002,816532947927468513354719628642357189531986274798241356263174895489625731175893462,54,Expert
008407020000090000720010300302100050000049103106305402000600090000903075800020004,918437526634592718725816349342168957587249163196375482273654891461983275859721634,49,Medium
040070020700000106500040000004000005000003402370010008090600003007082604000090000,843176529729835146561249387614928735985763412372514968498651273157382694236497851,55,Expert
203780160800300079000012080000538402980640005504900016300190050160200907000806020,253789164841365279679412583716538492982641735534927816327194658168253947495876321,41,Very Easy
001030000000760800037800026000000000500087200809023607003408090008000150900200060,681932475295764813437815926372649581546187239819523647163458792728396154954271368,51,Hard
480020193001083042603419005508600027249005006007800054796050001012004508050137000,485726193971583642623419785538641927249375816167892354796258431312964578854137269,36,Very Easy
001702056024000900000350400008070003100006004465001000040983600319000740056000092,931742856524168937687359421298574163173296584465831279742983615319625748856417392,46,Medium
725041003000000708000073054806000305002500047001700060000020036080000000054000982,725841693439265718168973254876194325392586147541732869917428536283659471654317982,49,Medium
045903007000004530300000096003140600700539100800200004000370900002800700007025000,645983217279614538318752496523148679764539182891267354486371925152896743937425861,49,Medium
005600014000000502000402960030800720761000000000070006950004008010060209842019603,295637814674981532183452967539846721761293485428175396956324178317568249842719653,47,Medium
087103020032850619100204073279080451000702006003519200000070908301028700708405000,987163524432857619156294873279386451815742396643519287524671938361928745798435162,37,Very Easy
900200106120070934400610052015400300602007548070800091500982000080300210260000080,958243176126578934437619852815496327692137548374825691541982763789364215263751489,41,Very Easy
003500000260000510900000000000008090602000004700306002007490006850030009100080030,473512968268974513915863427534728691682159374791346852327495186856231749149687235,54,Expert
068020490000000002002900000870003009409207001200895070000019000100700950605000800,768321495941658732532974168876143529459267381213895674387519246124786953695432817,50,Hard
000901670102405900507630140070014050000000401000809300059003010214006093000092584,348921675162475938597638142673214859985367421421859367859743216214586793736192584,42,Easy
000800590598710063400020008000000009030500400104009030700090300000451680080000040,217836594598714263463925178856143729932587416174269835741698352329451687685372941,50,Hard
001509002230007008040008503504060000902000107000005020000200005100000200008054090,681539742235417968749628513574162839962843157813975426496281375157396284328754691,52,Hard
025030000639001020010620000100056034750003091304190070900567000280310907571002000,425839716639471528817625349192756834758243691364198275943567182286314957571982463,41,Very Easy
050064002107000006090080000010002007006800100200070003000015068005600730000030000,358764912147329856692581374513492687476853129289176543734915268925648731861237495,54,Expert
900300540000000069576900003000490000200007005610800070420009000300001200850030007,982376541143258769576914823738495612294167385615823974427589136369741258851632497,51,Hard
000050280070000504053428000630800700025039040947100008319200007080010000502004803,496357281278691534153428679631842795825739146947165328319286457784513962562974813,44,Easy
943100627000306050006700038587003216001872094420561800004200360105000702300400085,943185627718326459256794138587943216631872594429561873874259361195638742362417985,36,Very Easy
201000000300000067040905002000010400500000030030407000006003200405000603090000014,251678349389124567647935182972316458564289731138457926816743295425891673793562814,55,Expert
070000009801640020205001468180726000500000080003510090000067000364000275008053940,476832159891645327235971468189726534527394681643518792952467813364189275718253946,44,Easy
068700040090005700730040059070590300243080000000470062050024000100600430304907020,568739241491265783732841659876592314243186975915473862657324198129658437384917526,45,Easy
005000300003000070800400006002000500000000247400100000200015089000094103691000050,965871324143962875827453916782346591316589247459127638234615789578294163691738452,54,Expert
605000042020004000801500300704020005003015000500700920069200000000049807400100209,635891742927364581841572396784926135293415678516738924169287453352649817478153269,49,Medium
100000000573094020206370040020705360060080007900460058040500691050029004009048072,194256783573894126286371945428715369365982417917463258842537691751629834639148572,42,Easy
370020840126004795908050013407900600251700934030500078810093000764015029000070000,375129846126384795948657213487931652251768934639542178812493567764815329593276481,37,Very Easy
530004106004002570010009030000500049920000061000920053000748320270000014003206000,532874196694132578817659432381567249925483761746921853169748325278395614453216987,46,Medium
900085043000003050005749600206004000003001060000560078500000430024050007009038506,912685743647213859835749612286374195753891264491562378568927431324156987179438526,47,Medium
100206953309080406006003007500060800060070305948130600000450000710300000835007000,187246953359781426426593187573962814261874395948135672692458731714329568835617249,45,Easy
000480900900371540001605700700016002020004800005820004030568017876000000000000089,357482961962371548481695723748916352123754896695823174239568417876149235514237689,46,Medium
100060409097004008060109075300051000500000960072000000050803000000000052000040000,185267439297534618463189275349651827518472963672398541756823194834916752921745386,54,Expert
000800090000000207104030060040105380010090004005008000007000000600280400009601500,572864193863519247194732865946175382218396754735428916487953621651287439329641578,54,Expert
003087009050320007009506003000700000894002000502010360008003091940200700030000020,423187659651329847789546213316754982894632175572918364268473591945261738137895426,49,Medium
000700300900105000076000509008940065630000004700000000297000800800070020000800006,514796382982135647376428519128943765635287194749651238297364851861579423453812976,54,Expert
600300094000427001001096370070060153463815720200000040030659007000008410080040035,627381594359427861841596372978264153463815729215973648134659287592738416786142935,41,Very Easy
732605904800910360006423050018009200000241080500008130000070090060534000080092005,732685914845917362196423758618359247379241586524768139251876493967534821483192675,42,Easy
004082305560701084000409670701300006230000097005000001000800059650007040040500700,974682315562731984813459672781395426236148597495276831327864159658917243149523768,46,Medium
000040036000708000300260840070001000100006052003092000497000260800000000050907413,728145936946738521315269847274351689189476352563892174497513268831624795652987413,50,Hard
070956040501470908030210076126037095400091200798540000089320710000009000010080360,872956143561473928934218576126837495453691287798542631689325714347169852215784369,38,Very Easy
056020098200008307100009006030070000000196000060000275800065000025400083090200000,356721498249658317187349526438572169572196834961834275813965742625417983794283651,50,Hard
000005008010204300050030700040029000891703204000000030039000580105607000000300610,263975148917284365458136792346529871891763254572841936639412587185697423724358619,50,Hard
000000304300058000080070591051040029803090005900500800002000030008060902500100008,675219384319458276284376591751843629823691745946527813462985137138764952597132468,50,Hard
006003008904056300173204956030010405892005631015060802040000760759030204001000589,526973148984156327173284956637812495892745631415369872248591763759638214361427589,36,Very Easy
402086010970300040000010070300002590009070600046001000090200067650007028000004309,432786915971325846865419273387642591219573684546891732193258467654937128728164359,48,Medium
000804003500060000980370200301008070407903080620000100000001020000000500000400800,162894753573162948984375261391628475457913682628547139849751326736289514215436897,54,Expert
